game_id,date,time_utc,location,temperature_f,feels_like_f,humidity_percent,precip_in,precip_type,wind_speed_mph,wind_gust_mph,visibility_miles,conditions
401671789,2024-09-06,00:40,Baltimore,70.8,70.8,65.79,0.0,,1.3,8.5,9.9,Clear
401671805,2024-09-07,00:15,Green Bay,56.0,56.0,61.69,0.0,,12.7,17.2,9.9,Clear
401671744,2024-09-08,17:00,Pittsburgh,59.1,59.1,55.01,0.0,,8.4,19.7,9.9,Partially cloudy
401671617,2024-09-08,17:00,Arizona,105.8,102.3,14.4,0.0,,5.8,14.5,9.9,Clear
401671719,2024-09-08,17:00,Tennessee,70.4,70.4,33.79,0.0,,10.6,15.0,9.9,Clear
401671628,2024-09-08,17:00,New England,68.7,68.7,69.53,0.0,,7.1,16.8,9.9,Overcast
401671861,2024-09-08,17:00,Houston,82.5,83.5,51.32,0.0,,16.2,28.1,9.9,Partially cloudy
401671849,2024-09-08,17:00,Jacksonville,78.7,78.7,85.69,0.0,,8.0,7.2,9.9,Overcast
401671734,2024-09-08,17:00,Carolina,74.8,74.8,54.04,0.0,,7.6,15.0,9.9,Partially cloudy
401671712,2024-09-08,17:00,Minnesota,67.2,67.2,46.25,0.0,,5.2,8.9,9.9,Partially cloudy
401671659,2024-09-08,20:05,Las Vegas,100.2,95.3,12.3,0.0,,18.5,33.0,9.9,Partially cloudy
401671664,2024-09-08,20:05,Denver,83.3,80.6,15.43,0.0,,7.9,11.4,9.9,Partially cloudy
401671761,2024-09-08,20:25,Dallas,83.1,81.6,33.44,0.0,,13.8,21.1,9.9,Clear
401671770,2024-09-08,20:25,Washington,61.8,61.8,83.81,0.0,,1.3,8.3,9.9,Clear
401671792,2024-09-09,00:20,Los Angeles,88.7,89.1,40.6,0.0,,11.8,15.0,9.9,Clear
401671696,2024-09-10,00:15,New York,70.4,70.4,43.75,0.0,,6.0,10.5,9.9,Clear
401671807,2024-09-13,00:15,Buffalo,73.2,73.2,74.33,0.0,,6.0,6.7,9.9,Partially cloudy
401671709,2024-09-15,17:00,New Orleans,83.1,88.4,69.17,0.0,,6.5,13.9,9.9,Partially cloudy
401671721,2024-09-15,17:00,Tampa Bay,83.8,92.4,77.36,0.0,,5.3,5.8,9.9,Partially cloudy
401671723,2024-09-15,17:00,Indianapolis,82.6,82.4,43.08,0.0,,4.4,10.7,9.9,Partially cloudy
401671636,2024-09-15,17:00,New York,74.8,74.8,66.15,0.0,,4.1,7.6,9.9,Clear
401671645,2024-09-15,17:00,San Francisco,75.0,75.0,59.31,0.0,,12.1,17.4,9.9,Clear
401671702,2024-09-15,17:00,Seattle,61.9,61.9,87.01,0.021,rain,3.1,17.7,3.5,"Rain, Overcast"
401671716,2024-09-15,17:00,New York,74.8,74.8,66.15,0.0,,4.1,7.6,9.9,Clear
401671652,2024-09-15,17:00,Los Angeles,72.5,72.5,68.35,0.0,,11.7,18.8,9.9,Clear
401671635,2024-09-15,17:00,Cleveland,74.1,74.1,77.61,0.0,,8.0,14.1,9.9,Clear
401671624,2024-09-15,17:00,Las Vegas,96.1,91.8,14.95,0.0,,11.5,24.3,9.9,Partially cloudy
401671754,2024-09-15,20:05,Los Angeles,72.5,72.5,68.35,0.0,,11.7,18.8,9.9,Clear
401671668,2024-09-15,20:25,Pittsburgh,77.3,77.3,43.37,0.0,,7.9,11.2,9.9,Clear
401671670,2024-09-15,20:25,Cincinnati,81.1,81.1,43.68,0.0,,4.4,11.0,9.9,Clear
401671786,2024-09-16,00:20,Chicago,80.0,80.0,52.04,0.0,,9.1,15.4,9.9,Partially cloudy
401671691,2024-09-17,00:15,Atlanta,76.2,76.2,52.31,0.0,,3.7,6.9,9.9,Clear
401671808,2024-09-20,00:15,New England,70.8,70.8,79.38,0.0,,7.0,17.2,9.6,Overcast
401671855,2024-09-22,17:00,New York,69.5,69.5,59.52,0.0,,7.6,17.2,9.9,Clear
401671823,2024-09-22,17:00,Green Bay,73.0,73.0,66.28,0.0,,3.4,19.0,9.9,Partially cloudy
401671865,2024-09-22,17:00,Chicago,82.0,81.5,40.94,0.0,,9.2,13.4,9.9,Partially cloudy
401671646,2024-09-22,17:00,Houston,87.7,92.7,55.51,0.0,,17.8,18.3,9.9,Clear
401671736,2024-09-22,17:00,Philadelphia,72.9,72.9,63.53,0.0,,10.9,7.6,9.9,Partially cloudy
401671632,2024-09-22,17:00,Los Angeles,69.4,69.4,74.0,0.0,,12.2,17.9,9.9,Clear
401671741,2024-09-22,17:00,Denver,59.0,59.0,44.89,0.002,rain,11.6,27.9,8.8,"Rain, Overcast"
401671658,2024-09-22,20:05,Carolina,79.9,79.9,65.81,0.0,,3.9,7.8,9.9,Partially cloudy
401671662,2024-09-22,20:05,Miami,84.2,90.1,67.42,0.0,,6.2,8.1,9.9,Clear
401671763,2024-09-22,20:25,Baltimore,73.9,73.9,81.59,0.009,rain,3.5,8.9,9.9,"Rain, Partially cloudy"
401671772,2024-09-22,20:25,San Francisco,71.8,71.8,65.83,0.0,,13.4,17.2,9.9,Clear
401671771,2024-09-22,20:25,Detroit,78.9,78.9,41.27,0.0,,3.5,4.9,8.1,Clear
401671793,2024-09-23,00:20,Kansas City,62.1,62.1,87.65,0.013,rain,8.9,18.3,6.7,"Rain, Overcast"
401671682,2024-09-23,23:30,Jacksonville,76.5,76.5,82.28,0.0,,3.8,8.3,9.9,Clear
401671490,2024-09-24,00:15,Washington,65.6,65.6,92.23,0.015,rain,5.2,15.7,9.7,"Rain, Overcast"
401671812,2024-09-27,00:15,Dallas,80.4,80.1,38.49,0.0,,6.6,11.0,9.9,Clear
401671727,2024-09-29,17:00,New Orleans,84.0,86.0,53.47,0.0,,7.8,11.4,9.9,Clear
401671871,2024-09-29,17:00,Los Angeles,66.3,66.3,73.5,0.0,,9.1,15.4,9.9,Clear
401671643,2024-09-29,17:00,Minnesota,78.2,78.2,41.32,0.0,,4.4,8.3,9.9,Clear
401671867,2024-09-29,17:00,Pittsburgh,71.4,71.4,80.3,0.0,,7.1,9.8,9.9,Overcast
401671622,2024-09-29,17:00,Denver,82.0,79.8,19.12,0.0,,15.1,24.2,9.9,Partially cloudy
401671740,2024-09-29,17:00,Philadelphia,65.9,65.9,93.29,0.0,,12.5,19.7,9.4,Overcast
401671745,2024-09-29,17:00,Cincinnati,65.7,65.7,97.73,0.068,rain,7.3,13.0,2.5,"Rain, Overcast"
401671857,2024-09-29,17:00,Jacksonville,82.4,88.8,76.41,0.0,,6.8,9.4,9.9,Partially cloudy
401671755,2024-09-29,20:05,Washington,74.3,74.3,73.87,0.0,,1.4,8.3,9.9,Partially cloudy
401671758,2024-09-29,20:05,New England,63.3,63.3,82.51,0.0,,6.3,14.5,9.9,Partially cloudy
401671672,2024-09-29,20:25,Cleveland,73.9,73.9,84.87,0.0,,4.9,25.3,9.9,Overcast
401671674,2024-09-29,20:25,Kansas City,77.6,77.6,45.64,0.0,,7.7,15.4,9.9,Clear
