game_id,date,team,opponent,player_name,receptions,yards,avg,touchdowns,long,targets
401671789,2024-09-06,BAL,KC,Isaiah Likely,9,111,12.3,1,49,12
401671789,2024-09-06,BAL,KC,Rashod Bateman,2,53,26.5,0,38,5
401671789,2024-09-06,BAL,KC,Justice Hill,6,52,8.7,0,18,8
401671789,2024-09-06,BAL,KC,Zay Flowers,6,37,6.2,0,19,10
401671789,2024-09-06,BAL,KC,Mark Andrews,2,14,7.0,0,11,2
401671789,2024-09-06,BAL,KC,Nelson Agholor,1,6,6.0,0,6,1
401671789,2024-09-06,BAL,KC,Derrick Henry,0,0,0.0,0,0,2
401671789,2024-09-06,KC,BAL,Rashee Rice,7,103,14.7,0,33,9
401671789,2024-09-06,KC,BAL,Xavier Worthy,2,47,23.5,1,35,3
401671789,2024-09-06,KC,BAL,Noah Gray,3,37,12.3,0,13,3
401671789,2024-09-06,KC,BAL,Travis Kelce,3,34,11.3,0,23,4
401671789,2024-09-06,KC,BAL,Isiah Pacheco,2,33,16.5,0,23,3
401671789,2024-09-06,KC,BAL,Justin Watson,1,25,25.0,0,25,1
401671789,2024-09-06,KC,BAL,Samaje Perine,1,10,10.0,0,10,2
401671789,2024-09-06,KC,BAL,Patrick Mahomes,1,2,2.0,0,2,1
401671789,2024-09-06,KC,BAL,JuJu Smith-Schuster,0,0,0.0,0,0,1
401671805,2024-09-07,GB,PHI,Jayden Reed,4,138,34.5,1,70,6
401671805,2024-09-07,GB,PHI,Romeo Doubs,4,50,12.5,0,19,7
401671805,2024-09-07,GB,PHI,Tucker Kraft,2,37,18.5,0,29,3
401671805,2024-09-07,GB,PHI,Josh Jacobs,2,20,10.0,0,11,3
401671805,2024-09-07,GB,PHI,Christian Watson,3,13,4.3,1,6,5
401671805,2024-09-07,GB,PHI,Emanuel Wilson,2,2,1.0,0,2,3
401671805,2024-09-07,GB,PHI,Luke Musgrave,0,0,0.0,0,0,2
401671805,2024-09-07,GB,PHI,Dontayvion Wicks,0,0,0.0,0,0,3
401671805,2024-09-07,PHI,GB,A.J. Brown,5,119,23.8,1,67,10
401671805,2024-09-07,PHI,GB,DeVonta Smith,7,84,12.0,0,25,8
401671805,2024-09-07,PHI,GB,Dallas Goedert,4,31,7.8,0,21,5
401671805,2024-09-07,PHI,GB,Saquon Barkley,2,23,11.5,1,18,2
401671805,2024-09-07,PHI,GB,Grant Calcaterra,1,11,11.0,0,11,1
401671805,2024-09-07,PHI,GB,Kenneth Gainwell,1,10,10.0,0,10,1
401671805,2024-09-07,PHI,GB,Jahan Dotson,0,0,0.0,0,0,1
401671805,2024-09-07,PHI,GB,Johnny Wilson,0,0,0.0,0,0,1
401671744,2024-09-08,PIT,ATL,George Pickens,6,85,14.2,0,40,7
401671744,2024-09-08,PIT,ATL,Pat Freiermuth,4,27,6.8,0,10,4
401671744,2024-09-08,PIT,ATL,Jaylen Warren,2,13,6.5,0,9,2
401671744,2024-09-08,PIT,ATL,MyCole Pruitt,1,9,9.0,0,9,2
401671744,2024-09-08,PIT,ATL,Najee Harris,1,9,9.0,0,9,2
401671744,2024-09-08,PIT,ATL,Calvin Austin III,1,7,7.0,0,7,2
401671744,2024-09-08,PIT,ATL,Darnell Washington,1,5,5.0,0,5,1
401671744,2024-09-08,PIT,ATL,Van Jefferson,1,1,1.0,0,1,2
401671744,2024-09-08,ATL,PIT,Ray-Ray McCloud III,4,52,13.0,0,20,7
401671744,2024-09-08,ATL,PIT,Bijan Robinson,5,43,8.6,0,14,5
401671744,2024-09-08,ATL,PIT,Kyle Pitts,3,26,8.7,1,12,3
401671744,2024-09-08,ATL,PIT,Darnell Mooney,1,15,15.0,0,15,3
401671744,2024-09-08,ATL,PIT,Drake London,2,15,7.5,0,8,3
401671744,2024-09-08,ATL,PIT,Charlie Woerner,1,4,4.0,0,4,2
401671617,2024-09-08,ARI,BUF,Greg Dortch,6,47,7.8,0,14,8
401671617,2024-09-08,ARI,BUF,James Conner,3,33,11.0,0,22,4
401671617,2024-09-08,ARI,BUF,Trey McBride,5,30,6.0,0,8,9
401671617,2024-09-08,ARI,BUF,Emari Demercado,2,26,13.0,0,24,2
401671617,2024-09-08,ARI,BUF,Elijah Higgins,2,12,6.0,0,7,2
401671617,2024-09-08,ARI,BUF,Michael Wilson,1,5,5.0,1,5,2
401671617,2024-09-08,ARI,BUF,Trey Benson,1,5,5.0,0,5,1
401671617,2024-09-08,ARI,BUF,Marvin Harrison Jr.,1,4,4.0,0,4,3
401671617,2024-09-08,BUF,ARI,Keon Coleman,4,51,12.8,0,28,5
401671617,2024-09-08,BUF,ARI,Khalil Shakir,3,42,14.0,1,19,3
401671617,2024-09-08,BUF,ARI,James Cook,3,32,10.7,0,25,3
401671617,2024-09-08,BUF,ARI,Mack Hollins,2,25,12.5,1,14,2
401671617,2024-09-08,BUF,ARI,Dawson Knox,1,23,23.0,0,23,2
